operator_qid,operator_label,operator_type_qid,operator_type_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved,wikipedia,similarity_score,operator_name
Q1437502,Iberdrola,Q1326624,electricity supply company,Q29,Spain,https://www.iberdrola.com,Bilbao,1992-11-01T00:00:00Z,Pedro Azagra Blázquez,40721,53949000000,electricity supply company,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Iberdrola%20%282023%29.svg,Madrid Stock Exchange,,https://en.wikipedia.org/wiki/Iberdrola,,
Q126192574,Logos Energía,Q1326624,electricity supply company,Q29,Spain,https://www.logosenergia.es,Santander,2020-01-01T00:00:00Z,,,,electricity supply company,http://commons.wikimedia.org/wiki/Special:FilePath/LoGOs%20Energ%C3%ADa.jpg,,,,,
Q1551220,Red Eléctrica de España,Q112046,transmission system operator for electricity,Q29,Spain,https://www.redeia.com/es,Alcobendas,1985-01-01T00:00:00Z,,2056,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Redeia%20logo.svg,Madrid Stock Exchange,,https://en.wikipedia.org/wiki/Red_El%C3%A9ctrica_de_Espa%C3%B1a,,
Q124735878,Sociedad Cooperativa Electra Segoviana,Q1326624,electricity supply company,Q29,Spain,,Segovia,1914-06-22T00:00:00Z,,,,energy supply,,,,,,
Q130363597,Energiöverföringen Hällsjön-Grängesberg,Q200928,electric power transmission,Q34,Sweden,,,,,,,,,,,,,
Q60687971,Fortum Sverige,Q472093,distribution network operator for electricity,Q34,Sweden,https://fortum.se,Stockholm,1906-05-20T00:00:00Z,,,,,,,,,,
Q942801,Svenska Kraftnät,Q112046,transmission system operator for electricity,Q34,Sweden,https://www.svk.se/,Sundbyberg Municipality,1992-01-01T00:00:00Z,,616,,electric power industry,,,,https://en.wikipedia.org/wiki/Svenska_kraftn%C3%A4t,,
Q115242292,EW Höfe,Q1326624,electricity supply company,Q39,Switzerland,https://www.ewh.ch/,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Elektrizit%C3%A4tswerk%20H%C3%B6fe.svg,,,,,
Q115232332,Elektrizitätswerk Davos,Q1326624,electricity supply company,Q39,Switzerland,https://www.ewd.ch/,Davos,1893-01-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Elektrizit%C3%A4tswerk%20Davos.svg,,,,,
Q28500440,Eniwa,Q1326624,electricity supply company,Q39,Switzerland,https://www.eniwa.ch/,Buchs,1893-01-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Eniwa.svg,,,,,
Q136523814,Flims Electric,Q1326624,electricity supply company,Q39,Switzerland,https://www.flimselectric.ch/,Flims,2002-01-01T00:00:00Z,,,,energy supply,,,,,,
Q3480520,Services Industriels de Genève,Q472093,distribution network operator for electricity,Q39,Switzerland,http://www.sig-ge.ch,Vernier,1896-01-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/SIG%20Gen%C3%A8ve%20logo.svg,,,,,
Q108699173,Services industriels de Lausanne,Q472093,distribution network operator for electricity,Q39,Switzerland,,,1896-01-01T00:00:00Z,,,,,,,,,,
Q2373251,Swissgrid,Q112046,transmission system operator for electricity,Q39,Switzerland,https://www.swissgrid.ch/,Aarau,2005-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Swissgrid-logo.svg,,,https://en.wikipedia.org/wiki/Swissgrid,,
Q4050564,Tanzania Electric Supply Company Limited,Q1326624,electricity supply company,Q924,Tanzania,https://www.tanesco.co.tz/,Dodoma,1964-01-01T00:00:00Z,,,,electric power industry,,,,https://en.wikipedia.org/wiki/TANESCO,,
Q3050569,Electricity Generating Authority of Thailand,Q1326624,electricity supply company,Q869,Thailand,https://www.egat.co.th/,Bang Kruai,1969-05-01T00:00:00Z,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20the%20Electricity%20Generating%20Authority%20of%20Thailand.svg,Stock Exchange of Thailand,,https://en.wikipedia.org/wiki/Electricity_Generating_Authority_of_Thailand,,
Q4842330,Bahamas Power and Light,Q1326624,electricity supply company,Q778,The Bahamas,https://www.bplco.com/,,,,,,electric power industry,,,,https://en.wikipedia.org/wiki/Bahamas_Electricity_Corporation,,
Q117864632,NAWEC,Q1326624,electricity supply company,Q1005,The Gambia,https://nawec.gm/,,1996-01-01T00:00:00Z,,,,,,,,,,
